@RELATION DATASET

@ATTRIBUTE f0 real
@ATTRIBUTE f1 real

@data
2.82095595264,3.43473785037
1.01922358853,4.27091833756
2.15299053609,6.99766312582
2.41075104468,3.26518571347
2.66368051748,6.99176958245
3.00239813206,5.04617481302
2.63238952267,5.07046596527
2.89126391498,6.67439168606
2.62114313403,5.73167843049
3.1269633638,6.24056145094
2.73194928983,7.70758824048
3.13577277246,5.78667582421
2.5252226352,4.93260995125
3.93664096894,2.84271134895
2.20959749384,6.11120621694
3.69073418468,6.24257972431
1.21601095173,6.65567894062
3.56607595467,4.21637942188
1.16734341146,5.5752801703
4.34096411179,5.35124329351
1.4271685137,4.972961303
2.99035423952,6.79226798091
3.64744176007,5.33437701179
2.97435501567,6.12682664454
1.83735022777,4.62413765972
-0.0650577616279,7.62977463448
3.0551473472,5.17810792251
3.75354192784,5.53825534459
2.23995404255,2.88561959719
3.02016740897,3.51890094448
1.02180695512,4.67736672536
3.49090985606,5.57909931502
2.68164434288,5.28816959702
1.68994013639,8.14850788569
0.395818532359,6.70459085105
2.78902488497,7.1580148995
2.44001549131,5.06086186431
2.18979409735,5.20535285217
3.17923823854,4.53037432098
3.2174921672,5.34814889419
2.71005524794,8.02461227692
3.06856125255,3.82241479501
2.30335247498,5.42234613411
2.77044604124,6.50022842924
4.08387389208,6.20536310908
2.03859080016,6.00933386234
0.872845746093,5.54354536325
2.0639076247,4.53620392281
4.21760544474,7.40291360992
1.33401013369,5.49311517695
2.61744502911,7.82734654175
3.02254018293,5.51251926189
2.22298517141,6.17456783575
2.57599087641,1.80441362391
2.69261773675,7.00061512747
2.63869533541,6.74141961621
1.22032599573,3.31027598795
2.41180293166,5.56084965365
3.62705368971,5.86262544707
3.52909151417,5.65279558478
2.52815945116,4.42388703283
2.39976728349,5.06556750859
3.48520968752,8.14826326356
2.02584890338,4.10992418679
2.67134986636,5.18450595499
1.7434485229,5.92564613268
2.87635089968,3.70761200971
1.73290413177,6.49184445065
3.62465887533,4.4396316238
2.98379670576,4.96199709427
0.570418974375,5.35692196121
2.82883236734,7.07874307953
3.56729304572,3.40502822651
2.82009027654,4.84893724354
3.3877527821,6.4763235516
2.53439178113,4.21246003066
3.3422072563,-0.59731783322
1.59745036042,5.49688263594
2.09552936632,6.04071065737
1.10141410743,6.66417515533
1.83769113662,8.02141033001
2.20836695106,2.57853402092
3.03631769291,5.67492568007
2.9429618434,5.6206431372
2.31393974001,3.98978428213
4.52629615356,4.64143815816
2.57064481912,5.1856123752
3.61941064799,4.05170100067
2.52024525955,3.74826380502
2.31224243072,6.06647743085
3.466765065,5.49080332577
1.8500717123,3.07628716593
4.03193254394,3.03866976348
2.74675355223,5.1270577872
2.92957124983,6.96453063786
3.35990501679,9.15074720591
1.66142948975,5.89784112988
2.56331073926,5.50389845076
3.13775466951,2.84761767617
3.45579759549,4.83710192591
